text,label,query_index
I have a transaction showing up multiple times.,needs_troubleshooting,88c355034c5d
Why is there an extra fee on my statement?,,ee0t3820e035
How come the money from the merchant appeared back into my account?,card_queries_or_issues,3a378ef60afe
"I need my card topped up,",top_up_queries_or_issues,2c1b851527a5
can I choose a date for delivery?,other,4409f8988bdf
"I deposited some money, but the balance has not changed.",needs_troubleshooting,3fb3e52a7761
how do i find out about transfers,other,facaa3fe4e90
Any fee for topping up?,top_up_queries_or_issues,4077e798a212
#,needs_troubleshooting,226t0c5be7cf
Why can I not make a transfer?,,584tad38dbef
What do I do if I forgot my PIN?,other,0df4999ccc1e
The transfer to my account was not allowed.,needs_troubleshooting,3bfb0742d1dd
Can i receive transfers from my employer this way?,other,cf23272dca49
"My card is expiring soon, How do I order a new card?",card_queries_or_issues,d39f6b04cf06
The exchange rate for the money I took out in a foreign country is wrong.,needs_troubleshooting,cdb47f3cb2d0
WHAT IS THE ATMOSPHERE OF IT,card_queries_or_issues,b4beee7bf410
There was an extra fee when I paid with the card.,needs_troubleshooting,bceabb88bc46
Where is my top-up verification code?,top_up_queries_or_issues,a9120178905c
I am not seeing recent cash withdrawal on my account.,other,486724dc5b1d
Hi! What documents can I use to verify my identity?,other,8b90ef78d20d
My card payment is being declined and I've tried several times.,other,66e9df32b74f
Can I exchange currencies with the app?,other,71333f74347a
"I no longer need AUD, I need GBP instead, how can I make this happen?",other,485e2e7e2110
"Please help me get a new card, I reside in the United States.",other,9806a5e6bef7
"I did transfer, why is it pending",other,055bb0a1e163
Am I able to use my account if the identity verification is not complete?,other,97d871269ec5
I haven't gotten my new card.,card_queries_or_issues,37c20ce170e8
When will the card arrive?,other,2d54592df9d5
Which country's currency do you support?,other,fdc21bce48f5
"Hi, I am unable to see transaction in my account which i made couples of hours ago from my UK account. Please help me in this.",needs_troubleshooting,3c800fa82adc
What identification is required to activate my card?,card_queries_or_issues,4a783f6d9dc2
The app doesn't believe that I am me,needs_troubleshooting,ed1953acf8db
Why are there additional fees for transfers?,other,c641e0da44e7
How come I don't see my deposit in my account yet?,needs_troubleshooting,ccda6650d87c
Can I still use my account without verifying my identity?,other,b3d03a13b33a
What fees apply when using a card?,needs_troubleshooting,aca21c6bfb7c
The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?,needs_troubleshooting,c8d804053e80
Will this app exchange currencies?,other,70b8e6d6523b
What do I have to do to get my PIN unblocked?,other,3f94ff39dd03
Tell me how many transactions I can do with a disposable card.,card_queries_or_issues,548da3e4575a
I see a cash withdrawal in the app that I did not do.,needs_troubleshooting,4016d40e796b
#,other,10et93272e2e
I had transferred some money but the balance hasn't changed.,needs_troubleshooting,046a95790321
got married and need to change name,other,6dac242cf9a2
How do I create a disposable virtual card?,card_queries_or_issues,73c12006cd69
Why hasn't my ID been verified?,needs_troubleshooting,13b0466187a6
I need assistance activating my card?,card_queries_or_issues,b4253e5f8054
"I was trying to use contactless earlier, but it didn't work.",needs_troubleshooting,1003d4d8d492
Will I know which exchange rate I will get?,other,e0ed26e043c4
I am not able to do a transfer to an account,needs_troubleshooting,f49b8d312bf6
Why would a transfer to an account not be allowed?,needs_troubleshooting,eafe64b6a772
What do I do if my disposable virtual card doesn't work?,needs_troubleshooting,3bfd612ae504
What is the point of verifying a top up?,top_up_queries_or_issues,1419a0a90424
How do I go about getting a refund?,other,b98f699195f2
What do I do to get ahold of my own card?,card_queries_or_issues,f48db85945df
Is ordering a new card from China available?,card_queries_or_issues,67fea728e0cb
Are there any limit on the auto top-up?,top_up_queries_or_issues,37149da0afcb
How do I verify a top-up?,top_up_queries_or_issues,a9f678ee067d
I recently got charged twice from a restaurant that I was at this week and I would like for one of those payments to be removed from my account.,needs_troubleshooting,193644b6a71a
Can I top up online?,top_up_queries_or_issues,7f1e5dc4d0e6
I lost my wallet today with all my credit cards. Will you please block the card and send a replacement?,card_queries_or_issues,adc87e486000
Can I use my card anywere?,card_queries_or_issues,f1f17bf7dd71
What do I do if I detect fraudulent use on my car?,needs_troubleshooting,8a01929086f5
I need to change my card PIN.,other,d655fa7aef01
What reasons could cause my top up to be reverted,top_up_queries_or_issues,41f5c96f974e
Why did they charge me an extra $1?,needs_troubleshooting,7c53a20eaa3e
Why would my card payment be reverted?,card_queries_or_issues,83da7f3d4578
If I live outside of the UK am I still eligible for a card?,other,753efc88cfdf
"Is there anyway, I can get a disposable virtual card?",card_queries_or_issues,0333c90a8552
"Do you not accept crypto transfers from certain places? Because when I tried to do a top up the money just disappeared. Im not sure what to do or what I'm doing wrong, please help.",top_up_queries_or_issues,512fb6e55c73
"Help, my phone was stolen, please advise!",other,5db493cc3578
how do i track the moeney,other,758ef2dfa802
I know I'm getting a new card but would like know when I can expect to receive it.,card_queries_or_issues,136757a40227
I don't see a refund in my account.,needs_troubleshooting,8536747e2b2b
"I am looking to get a Visa credit card, what must I do to achieve this?",other,e13485a5e572
Where do I order a disposable virtual card?,card_queries_or_issues,5a38fcfcfb86
Is there a specific date i can have it delivered?,other,28973181f15c
How can I tell if there will be a fee added to my payment or not?,needs_troubleshooting,7f0739355a56
I paid with my card so so why was I charged a transaction fee?,needs_troubleshooting,a8bf6b1ee4af
I can't get my card to work.,card_queries_or_issues,977ea61da66d
Please explain how I use the disposable cards?,card_queries_or_issues,6a0f121ed5bb
Why is there a pending time on my transfer?,other,fc08303d1621
"I need your help to check my account, please! My card keeps being declined at the ATM, and I've already tried two different ones!",needs_troubleshooting,6a27cd16554d
My phone was stolen,other,f514e2cfe3be
"There are a couple payments with my card shown in the app that i really make myself. What's going on with this, maybe someone has access to my card?!",needs_troubleshooting,3deb1c36fdc5
How long does a funds transfer take from one back to another?,other,b6afe6fbdfa6
"I'm currently not in possession of my phone, is it still possible to go about things normally without access to the app?",other,ac6a0048d632
"I can't figure out why I haven't gotten my cash, when I already put the check in the bank.",needs_troubleshooting,5be74c139d85
What is the currency exchange fee?,other,811f84420bf3
Can i deposit my salary to this account?,other,b507b6a6f23f
"I need to top up, can I use google pay?",other,e020cb05424d
While on vacation I used an ATM to get cash and was overcharged. These charges are ridiculous and had I known about them I would have never used it.,needs_troubleshooting,335d1c080514
I didn't know I was going to get charged to use my card.,needs_troubleshooting,505fde37373e
I have a direct debit I didn't set up,needs_troubleshooting,b519f8132a36
I need to change my account details,other,7cd950d2acfe
When will my deposit post to my account?,needs_troubleshooting,94cac56be73d
Am I able to top up with this cheque I received?,top_up_queries_or_issues,6137a3104384
Is there any way to cancel a transfer?,other,120a93fbf3e5
Can I order a card?,card_queries_or_issues,c70b17a95898
Will this card work all over the world?,card_queries_or_issues,1f2f850d4fb2
I have a transfer that was declined.,needs_troubleshooting,416336f9bc6a
What does a pending cash withdrawal mean?,other,46ca2eefd26e
Tell me which cards and what currency is supported.,card_queries_or_issues,4100f2094913
My disposable virtual card is broken.,needs_troubleshooting,a0788fe1eb66
Why is my check still not showing up on my account? It's been a week already,needs_troubleshooting,1c8432d0a67a
I happened to forget my password,other,3142f1682e18
where can I change my address?,other,7ebe63987d72
I just realized I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow.,other,2a728bfacdf6
"I have used all my PIN tries, what now?",other,332733eb92c1
Can the exchange rate change while I am in the process of making a withdrawal?,needs_troubleshooting,5d8bfccdaa91
What can you use the disposable cards for?,card_queries_or_issues,9ba7c188f34a
When I exchanged currencies the value of my money changed.,needs_troubleshooting,a05ba19ee88b
What is the formula for your exchange rate?,other,6880725a77c9
How do I link the new card that I just got from you guys?,card_queries_or_issues,ac5d9b706265
Does it cost much or take long to get a new card? Mine is about to expire.,card_queries_or_issues,924d0a7e1470
Are cards delivered to my location?,card_queries_or_issues,f82ba64f5955
"I had everything lined up to make a transfer, and then it rejected it.",needs_troubleshooting,bccc00f7e09b
"I've been trying to transfer funds to top-up my card, but the transaction is not going through.  Is there something I'm doing wrong?",,45bte55e8219
"A 500 pound cash withdrawal was just made from my account, but I didn't make it. I am pretty sure my card has been compromised - can you help me?",needs_troubleshooting,5962b36dda1a
I would like to transfer money from my other bank account into this one.,other,53c270b14f24
Why do I have two charges It should only be one charge?,needs_troubleshooting,c4eda6a875d7
Is there a way to reset my passcode?,other,cd374f9d1357
How do I know if my top up worked?,top_up_queries_or_issues,7cce8575318b
What do I need to do to get a card?,card_queries_or_issues,3af5eccd6ff8
Can you explain your exchange rate policy? I don't think I received the correct amount of cash in my ATM transaction.,needs_troubleshooting,844dd06ee4e7
When will my payment go through?,other,709654a6ed40
"I got less than what i asked for in the ATM, why?",needs_troubleshooting,bc91f94c7f04
There is a withdrawal waiting.,other,4b2463d2166e
How do i go about linking a new card?,card_queries_or_issues,acbf1ca099ee
What are the reasons that my mortgage payment won't go through? I'm getting an error and don't know how to correct to get this transfer to go through.,needs_troubleshooting,b84b000739a6
I can't find my card and think it may have been stolen.,card_queries_or_issues,85e6da303ae2
"I would like to exchange currencies, but is there an extra charge to do so?",other,29086d49cc09
I was removing a dollar amount from my account and now don't have access to my card.,card_queries_or_issues,a426dae56608
How long until the transfer is reflected on my account balance?,other,526a237d8ffe
"The company is no good, please terminate my account.",other,1ab533bef2a3
Where can I get a new passcode?,other,4e79aa256455
What are the steps that I need to take to activate a new card?,card_queries_or_issues,3f985891b662
What is the function of the disposable cards?,card_queries_or_issues,004a376d2701
How long does it take for money to reach my account?,needs_troubleshooting,3f8a8cb0a0cf
What do I do to get a disposable virtual card?,card_queries_or_issues,5fd02a3e491b
I don't understand why you want so much of my personal info.,,80ct06d867af
Where do I go if I want to link my new card?,card_queries_or_issues,d92869e12fd2
Why was I declined getting cash?,needs_troubleshooting,5cf73fe1c548
I was charged a fee for a transfer. Where did it come from?,other,5105699d874e
How are you determining your exchange rates?,other,39f57b3fbc9e
Can I get a disposable card?  How many can I have?  How often can I use them?,card_queries_or_issues,93aff81d6c1f
I don't understand why you aren't accepting my transfer. After a couple times trying I'm still getting an error message.,needs_troubleshooting,513a0c573239
I can't use the app.  My phone is lost at the hotel.,other,7ab38fd2e03d
My card hasn't came in the mail yet?,card_queries_or_issues,b8a40449ebc1
Do I have to pay for exchanging currencies?,other,d6069344b318
Explain the card PIN to me.,card_queries_or_issues,b333f2693c33
"Someone is using my card to purchase flights to New York it's not me because I'm not going to New York, please can you cancel the card and refund the money?",needs_troubleshooting,763d531dfaa1
I want a mastercard,other,528bf14b5fe6
How do I verify the top-up?,top_up_queries_or_issues,ef9d7d2482e2
What is the age limit?,other,6635d75e5511
I topped up but the app did not accept it.,top_up_queries_or_issues,b806d1762365
Do you have any idea on when I will receive my refund? I got my statement and it was not there.,,0d4t0141b757
"Please help me as i am continuously facing the issue in transferring money to my friends, as all my transactions are getting failed.",needs_troubleshooting,aff0ead1c0e2
I forgot the code I need to get into the app.,other,d053a3fd90f2
I want to get a refund.,other,539f81acf57d
something is wrong with my exchange rate charge,needs_troubleshooting,c8892ddcd48e
Have you started charging for cash withdrawals? I always thought it was free until I noticed this fee. How much is the fee?,needs_troubleshooting,853fd344c4e4
"I noticed my card payment was cancelled, can you tell me why?",card_queries_or_issues,51c452486871
How long will my payment be pending?,other,219704a2d9fe
What if my top up doesn't go through?,top_up_queries_or_issues,531510270950
I am unable to transfer money. I believe it is not working because it states it was declined.,needs_troubleshooting,4c400761f916
"Some cash was withdrawn in the app, but I did not do it.",needs_troubleshooting,1edb8e31581c
Where is my money that I transfered?!,needs_troubleshooting,aa31073d79a6
#,other,849t6f85a049
How long will it take to transfer from europe?,other,be37e38f3bca
Will I be charged for transfers?,other,e348e4ce5c8f
What are the age requirements for service?,other,4920c5bd0c88
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,card_queries_or_issues,8f23a0ccb8bb
How can I use American Express to add money to my account?,card_queries_or_issues,b0fd1abb1912
Is the top-up amount unlimited?,top_up_queries_or_issues,7c62130e212e
Can I use Apple Pay to top up?,other,f393b47687bf
What do I do if I cannot access the app?,other,70ee4b78556f
can i use both visa and mastercard,other,c5e1c6fef195
Can I cash deposit to top up my account,top_up_queries_or_issues,4635836bce91
I need to get some more physical cards.,card_queries_or_issues,6c572fc98291
What is the process for getting an actual physical card?,card_queries_or_issues,43fb8ce7d78f
I have a transaction showing multiple times.,needs_troubleshooting,724209f22091
My new landlord says he hasn't received the rent payment that I transferred a couple days ago. I've already checked the account numbers and they are correct. Can you tell me what's going on with this transaction that the transfer isn't showing up on my landlord's end?,needs_troubleshooting,a301b7e58079
What is the exchange rate like?,,09ct595ee10b
I made an ATM withdrawal over the holiday and then later realized I was charged an exorbitant fee!  I never would've made this withdrawal if I'd known I'd be charged so much.,needs_troubleshooting,bed2baef5adf
"Someone has my card number, freeze my account.",needs_troubleshooting,fc6f789e340d
Can I use this app to exchange currencies?,other,b3847b8a632a
I made a cash deposit almost a week ago but it's still not there!! please sort this out asap I need the money,needs_troubleshooting,92c7a3849989
What forms of ID do you need for identity verification?,other,54af44a80c99
"Please cancel my most recent transfer, it was a mistake. This is an emergency. It needs to be canceled before it goes through.",other,8fd9d8ae9227
Do you offer services that hold money in different types of currency?,other,3a1986943bb6
When is a payment I made with my card going to clear>,other,5dd5e2c95949
Hello. I checked my transactions and saw I was double charged on my card for a restaurant visit. I would like to get my money back.,needs_troubleshooting,60dfef17a554
My card payment is pending.,other,ce19aa22657d
A fee came along with me paying with card,needs_troubleshooting,4aa1eefd2aa3
I did a card payment but its status is still coming as pending. Please check and inform when it would complete.,other,df3c63488cc0
Is my country supported,other,e84df36b5773
The amount of cash I requested to withdrawal did not match what I received when exchanged,needs_troubleshooting,edd0edf20de9
How do the disposable cards work?,card_queries_or_issues,974bf3cc0d19
Can I get a card? I live in the US.,other,3eacfcb35259
What are the disposable cards for?,card_queries_or_issues,88ab186263ce
I think there's a purchase at a store that I didn't go to.,needs_troubleshooting,180590f85e51
There appears to have been a reversion in my top up,top_up_queries_or_issues,a54d33c44f7a
I think there was an error in your exchange rate.,needs_troubleshooting,bc002e97f480
"Oh my goodness, my card has been declined twice at ATM! I tried two different ATM, but each one declined my card! Can you tell me what's going on with my account?",needs_troubleshooting,cf165d39ce08
I don't know why my credit card was declined while I was trying to top-up. Was it something on my end or was there something wrong with the top-up function?,top_up_queries_or_issues,f14877ff6425
My non-physical card will not work,needs_troubleshooting,dcb61612b88d
"I would like to give another card to my daughter, how can I proceed?",card_queries_or_issues,dbbb64d99665
Why is there a fee for getting cash?,needs_troubleshooting,aaef8e0b0f89
How can I investigate a missing refund?,needs_troubleshooting,02e93417511e
I have a fee showing from last time I used my card.,needs_troubleshooting,7882b2706785
I would like a temporary virtual card,card_queries_or_issues,117a287ebe05
Can friends I have top-up my account?,,18ctc65adefc
"I wanted to buy something online yesterday, but I could not because the card got declined on the day of and the following day. What is wrong with the card?",needs_troubleshooting,5182e0990765
Who accepts this card?,card_queries_or_issues,df3cbc1f141f
"My receipt shows an extra charge on my transfer, why is this?",other,cae4b3fddbcf
What is taking so long on my transfer from the US?,other,a7edf34ad17b
I haven't received money from a transfer?,needs_troubleshooting,4308f68ea7f3
Where do you support?,other,790fd8f1ac7d
Will you charge me if I top up by card?,top_up_queries_or_issues,3f64404a8929
Why do I have to verify the top-up?,top_up_queries_or_issues,f07debb14df7
Need to deposit a cheque into my account,top_up_queries_or_issues,717658d979ac
What kind of documents do I need for the identity check?,other,173b198ada86
My money is back in my account after a seller contacted me stating they never received payment. I am positive it was deducted out of my account. Please get this sorted out right away.,card_queries_or_issues,fc6350457b86
"I already have one of your cards, how do I link them?",card_queries_or_issues,6e2bd6f3723a
I lost my passcode.,other,c91e9dc1c763
How do I get another card,card_queries_or_issues,12547f8a917c
I have to verify my source of funds.,other,af70266ef753
What can I and can't do with the disposable cards?,card_queries_or_issues,7ca9b89f0551
Do I need any kind of documentation for the identity check?,other,359811805edb
I transfered my balance a while back.  Why doesn't my account reflect this?,needs_troubleshooting,8532d72fb45f
Why are top-ups being verified?,top_up_queries_or_issues,c7a09cd5b8ed
Is there an age limit to get an account?,other,3ae6a5b9c5b7
I think my card payment was reverted,card_queries_or_issues,e2b8675a920e
I got married and need to change my name.,other,7f043e7b2b21
About this card PIN?,card_queries_or_issues,b28540738514
When will my transfer post to my account?,other,72d3a8e20ebf
want a new card what are the fees,card_queries_or_issues,5b8d9d6e61ce
What currencies are supported?,other,d0b23172c5c6
I need to get some Euros for my holiday. Am I able to exchange some of my money?,,04ct40789bcd
How old do you have to be?,other,45a352ae6ae8
Is the exchange rate the same on weekends as the weekdays?,other,1ca3ffeabedd
What's the tracking on the card you sent?,card_queries_or_issues,9fd407945afd
I tried to transfer money but it said it wasn't possible? I've done this before and it worked why isn't it working now?,needs_troubleshooting,eab48749eb01
There is a transfer not showing on my account.,needs_troubleshooting,9ce9afb7adfc
How long does it take for my top up to clear?,top_up_queries_or_issues,08e126d4c9c8
I need assistance addressing a direct debit that I did not do myself.,needs_troubleshooting,fe3cc1af184c
What are the rules for transferring to a beneficiary?,,92dt7838d4c0
#,other,73ft45a21d0f
I want to link my new card. Can you help?,card_queries_or_issues,e7e23882fed2
"I want to reactivate my card, I thought I had lost it but I found it.",card_queries_or_issues,9f7b595507c7
How come I got blocked for entering wrong pins?,other,7874f7a1d9d7
I am having a huge problem with my card being declined and it's really important that I top-up today.  Would you please look into this further and let me know how I can get this fixed?,top_up_queries_or_issues,44ce2263ec3e
I don't know the code for the app.,other,8185968da23a
How can I transfer money into my account?,other,62ad953c8161
How long will delivery to the US take?,other,bac7aa1ecdad
I'm still waiting for my card that was issued a week ago. What should I do?,card_queries_or_issues,45de0f56a520
Why is my card being declined at the ATM? I have tried multiple ATMs and i keep running into the same problem. Could you verify that everything is okay with my account?,needs_troubleshooting,a40d99397252
"When I travel, what will it cost to switch for my currency?",other,d4253ce27cde
When should I expect to receive my card?,other,545b3d067100
Why was my card payment reverted?,card_queries_or_issues,fef60c2344c2
Please verify my top-up card,top_up_queries_or_issues,46d847854804
There is a fee I don't recognize on my statement.,,edbt54356c19
There is a 1£ charge that appears as pending on my statement. What is that? I haven't purchased anything for a pound there.,needs_troubleshooting,3a29653a083c
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",card_queries_or_issues,f0b0a519b021
Why is there a random withdrawal in my app?,needs_troubleshooting,38323a0116fe
What would the approximate delivery date be if I transferred something urgently to China?,other,c9937af400ab
I tried to do a transfer but it didn't go through.,needs_troubleshooting,cc95bb36abc7
Where can I get money from my card?,other,9a4b6f130da0
Can I get my card fast tracked?,other,9c51a8a7dd8e
The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate.,needs_troubleshooting,2d6fc6cd0b2c
"Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error.  Do you know what could be causing this and can you help me get the money over.",needs_troubleshooting,fd9e4931d016
Was there a number to track that I could get?,card_queries_or_issues,ce8772b311bc
Should i reinstall the payment app?,needs_troubleshooting,21fbe70cdbba
Why has my top up been returned?,top_up_queries_or_issues,c27a388db153
I would like to exchange currencies on the app. How do I do this?,other,8a2296022a26
"Everything seems fine with my account, so why did it decline my payment?",other,bbc2422ccb97
what is required documents for new card process ?,needs_troubleshooting,6b7203bb8bc3
I'm interested in learning more about product refunds.,other,d56b9dc5eedc
Hoe do i use my credit card to transfer money?,top_up_queries_or_issues,7b69b307720c
I have made a card payment but it did not completed still showing as pending. Please tell me when it will be completed.,other,e2cfec74a5ca
"I am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back.  Thank you.",needs_troubleshooting,9e15c378e65a
I made a payment with my card that was cancelled?,card_queries_or_issues,c2a075413f5e
Where is the money I pushed it's on my mobile app as being withdrawn.,needs_troubleshooting,c8e95acce956
What are the reasons for my beneficiary not being allowed?,needs_troubleshooting,ec91da5c313e
How much does it cost to make transfers?,top_up_queries_or_issues,adf92a8bb7bb
When will my transfer arrive from Europe?,other,e3ccd78079b8
The card has suffered a security breach.,needs_troubleshooting,3b8d00360b0b
How do I make sure I don't run out of money on my card while traveling?,top_up_queries_or_issues,9bc8e18093d0
Do you have a limit for someone's age?,other,e3cc30bb5cf2
What is the longest a US transfer should take to appear in my account?,other,5e6aecb8a740
My card doesn't work when I use it.,card_queries_or_issues,7632382d56cd
Is there an additional charge for topping up using a European card?,top_up_queries_or_issues,0f8f2f1362e9
Since when were there charges for taking out cash from my account? It's always been free for me to do this before.  How much are the charges going to be?,needs_troubleshooting,30606f1b4f16
I was charged an extra pound.,needs_troubleshooting,823df5861592
I bought an item at the wrong exchange rate.,needs_troubleshooting,027b9f3b6097
How do I set-up my PIN for the new card?,card_queries_or_issues,697b1fdfe486
